"country","date","update","cases","new_cases","deaths","new_deaths","recovered","new_recovered","active_cases","per100k","newper100k","activeper100k","days_since_case100","days_since_death10"
"Colombia",2020-05-02,102,7285,279,324,10,1666,115,5295,14.3,0.5,10.4,45,35
"Comoros",2020-05-02,102,3,2,0,0,0,0,3,0.3,0.2,0.3,0,0
"Costa Rica",2020-05-02,102,733,8,6,0,372,17,355,14.4,0.2,7,43,0
"Cote d'Ivoire",2020-05-02,102,1362,29,15,0,622,25,725,5.2,0.1,2.7,37,12
"Croatia",2020-05-02,102,2088,3,77,2,1463,42,548,50.9,0.1,13.3,45,29
"Cuba",2020-05-02,102,1611,74,66,2,765,51,780,14.2,0.7,6.9,36,26
"Cyprus",2020-05-02,102,864,7,15,0,296,0,553,71.6,0.6,45.8,41,27
"Czech Republic",2020-05-02,102,7755,18,245,5,3461,89,4049,72.4,0.2,37.8,51,36
"Democratic Republic of the Congo",2020-05-02,102,674,70,33,1,75,0,566,0.8,0.1,0.6,32,31
"Denmark",2020-05-02,102,9605,96,475,15,7084,160,2046,165.8,1.7,35.3,54,43
"Diamond Princess Cruise Ship",2020-05-02,102,712,0,13,0,645,0,54,NA,NA,NA,83,40
"Djibouti",2020-05-02,102,1112,15,2,0,686,14,424,112.6,1.5,42.9,25,0
"Dominica",2020-05-02,102,16,0,0,0,13,0,3,22.2,0,4.2,0,0
"Dominican Republic",2020-05-02,102,7578,290,326,13,1481,94,5771,69.9,2.7,53.2,43,39
"Ecuador",2020-05-02,102,27464,1128,1371,308,2132,219,23961,155.7,6.4,135.8,46,42
"Egypt",2020-05-02,102,6193,298,415,9,1522,62,4256,6.1,0.3,4.2,50,43
"El Salvador",2020-05-02,102,446,22,11,1,141,17,294,6.9,0.3,4.5,24,3
"Equatorial Guinea",2020-05-02,102,315,0,1,0,9,0,305,22.5,0,21.7,9,0
"Eritrea",2020-05-02,102,39,0,0,0,26,0,13,1.1,0,0.4,0,0
"Estonia",2020-05-02,102,1699,5,53,1,256,3,1390,128,0.4,104.7,50,31
"Eswatini",2020-05-02,102,108,2,1,0,12,0,95,9.3,0.2,8.2,3,0
"Ethiopia",2020-05-02,102,133,0,3,0,69,3,61,0.1,0,0.1,15,0
"Fiji",2020-05-02,102,18,0,0,0,14,2,4,2,0,0.4,0,0
"Finland",2020-05-02,102,5176,125,220,2,3000,0,1956,93.4,2.3,35.3,51,35
"France",2020-05-02,102,168518,1213,24763,166,50663,451,93092,258.2,1.9,142.6,64,57
"Gabon",2020-05-02,102,335,59,5,2,85,18,245,15,2.7,11,16,0
"Georgia",2020-05-02,102,582,16,8,1,207,0,367,14.6,0.4,9.2,34,0
